timestamp,CPU_0(group_0),CPU_2(group_1),CPU_4(group_1),CPU_6(group_1),CPU_8(group_1),CPU_10(group_1),CPU_12(group_2),CPU_14(group_3),CPU_16(group_3),CPU_18(group_3),CPU_20(group_3),CPU_22(group_3),CPU_24(group_3),CPU_26(group_4),CPU_28(group_5),CPU_64(group_0),CPU_66(group_1),CPU_68(group_1),CPU_70(group_1),CPU_72(group_1),CPU_74(group_1),CPU_76(group_2),CPU_78(group_3),CPU_80(group_3),CPU_82(group_3),CPU_84(group_3),CPU_86(group_3),CPU_88(group_3),CPU_90(group_4),CPU_92(group_5)
1768747885.3668017,14.2,2.9,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,9.0,1.0,0.0,4.0,0.0,100.0
1768747886.3691735,9.1,0.0,0.0,1.0,15.2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.3,2.0,100.0,1.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0,1.0,2.0,0.0,16.3,0.0,100.0
1768747887.3714333,9.7,1.0,0.0,0.0,7.1,0.0,0.0,0.0,1.0,4.0,2.0,2.0,18.9,1.0,100.0,2.0,0.0,1.0,0.0,0.0,7.1,1.0,0.0,0.0,8.0,0.0,2.0,7.1,2.0,100.0
1768747888.3749928,12.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,8.2,3.0,0.0,20.2,0.0,100.0,0.0,0.0,3.0,0.0,0.0,10.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768747889.3788733,11.8,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,7.9,2.0,0.0,12.2,0.0,100.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,100.0
1768747890.382436,14.0,1.0,0.0,13.9,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,11.3,0.0,100.0,1.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,8.2,0.0,0.0,6.1,0.0,100.0
1768747891.3862085,11.7,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,16.2,0.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,16.3,2.0,0.0,0.0,12.1,0.0,0.0,1.0,1.0,100.0
1768747892.3921971,12.5,1.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,15.5,1.0,0.0,100.0,1.0,0.0,1.0,0.0,3.0,10.9,12.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,100.0
1768747893.3967397,10.8,0.0,0.0,5.1,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,15.2,0.0,100.0,0.0,1.0,2.0,2.0,1.0,7.2,17.5,0.0,1.0,5.1,0.0,0.0,0.0,2.0,100.0
1768747894.400991,10.0,0.0,0.0,0.0,7.1,1.0,1.0,0.0,0.0,0.0,3.0,1.0,19.2,0.0,100.0,0.0,0.0,1.0,0.0,1.0,12.1,10.1,0.0,0.0,12.1,0.0,2.0,5.9,0.0,100.0
