timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_0),CPU_68(group_0),CPU_6(group_0),CPU_70(group_0),CPU_8(group_0),CPU_72(group_0),CPU_10(group_0),CPU_74(group_0),CPU_12(group_0),CPU_76(group_0),CPU_14(group_0),CPU_78(group_0),CPU_16(group_0),CPU_80(group_0),CPU_18(group_0),CPU_82(group_0),CPU_20(group_0),CPU_84(group_0)
1770631228.0148861,35.0,41.7,37.0,44.1,40.6,51.0,45.5,39.0,47.0,37.0,45.1,53.9,43.1,24.8,37.3,35.6,39.6,40.2,38.2,29.4,36.3,34.3
1770631229.0149536,53.1,53.0,49.0,57.4,40.6,54.9,46.5,46.5,46.1,52.0,52.0,45.5,60.0,42.6,48.5,44.6,43.1,49.0,36.3,48.0,47.5,51.0
1770631230.0150344,40.2,50.5,42.6,48.5,45.1,48.5,45.5,41.7,48.5,40.0,56.3,49.0,51.0,48.0,45.1,44.0,38.4,43.6,44.1,41.4,42.4,44.1
1770631231.0151021,48.5,41.6,58.4,45.5,45.5,45.1,51.0,42.6,45.1,45.1,54.9,51.5,48.0,49.0,42.0,50.0,48.0,47.5,44.6,41.2,38.8,44.1
1770631232.0151818,46.5,47.5,49.5,48.5,52.5,56.3,49.0,48.0,46.5,49.5,46.6,46.1,46.9,49.5,53.0,52.0,41.0,52.9,45.5,44.0,42.4,52.0
1770631233.0152638,42.0,52.4,57.0,51.5,46.1,50.5,34.7,45.5,40.6,40.6,35.0,44.1,47.5,46.5,52.0,33.7,43.7,45.1,38.0,41.2,47.5,44.0
1770631234.0153313,48.0,49.0,54.5,49.0,51.5,44.6,43.1,43.0,50.5,54.4,43.6,40.6,44.6,44.1,45.5,50.0,45.0,38.6,54.5,46.0,52.5,45.6
1770631235.0154176,45.0,47.5,48.0,42.2,55.9,40.2,43.6,49.0,46.5,39.2,37.3,41.0,42.2,47.5,40.6,48.5,31.7,47.5,48.0,45.1,42.7,44.6
1770631236.0155034,47.1,40.6,42.6,49.0,45.5,45.5,40.6,41.0,37.0,40.6,45.5,42.2,51.5,50.0,46.5,41.6,40.2,45.1,35.6,44.4,38.0,41.0
1770631237.015587,43.0,38.2,47.5,46.5,34.7,48.0,34.3,40.2,37.3,42.0,46.0,41.6,40.2,43.1,45.6,31.4,40.8,35.6,41.6,44.2,41.2,33.3
