timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_1),CPU_68(group_1),CPU_6(group_1),CPU_70(group_1),CPU_8(group_2),CPU_72(group_2),CPU_10(group_2),CPU_74(group_2),CPU_12(group_3),CPU_76(group_3),CPU_14(group_3),CPU_78(group_3),CPU_16(group_4),CPU_80(group_4),CPU_18(group_4),CPU_82(group_4),CPU_20(group_5),CPU_84(group_5),CPU_22(group_5),CPU_86(group_5)
1770650922.1710074,30.9,26.3,30.0,28.0,24.7,40.0,20.8,18.2,62.6,63.4,59.4,56.6,22.8,23.8,27.0,29.7,41.6,39.0,41.0,41.4,53.5,54.5,48.5,50.5
1770650923.1718924,32.3,28.0,32.3,30.4,40.0,38.4,30.9,31.6,57.4,59.0,63.0,62.7,36.3,34.7,35.6,32.7,54.0,47.5,48.5,48.5,56.0,53.0,56.4,54.5
1770650924.1719735,27.8,28.7,29.7,25.5,48.0,39.0,47.0,39.4,60.2,58.8,67.7,63.4,50.0,44.1,50.5,47.5,52.0,50.5,40.4,40.4,52.9,57.4,59.4,58.6
1770650925.1720438,36.1,34.0,29.6,31.0,38.6,27.8,39.4,29.0,63.1,57.0,62.4,58.0,45.5,41.0,41.0,42.0,47.4,39.8,42.9,49.0,45.5,48.0,53.5,41.0
1770650926.1721091,29.6,24.0,29.0,24.2,47.0,29.3,38.4,34.3,57.0,63.0,61.4,62.0,43.6,43.1,41.0,39.2,50.5,45.0,48.5,35.0,43.0,46.0,54.5,41.4
1770650927.1722019,27.6,26.3,31.0,25.7,38.4,49.0,35.6,30.6,63.6,62.6,65.3,57.4,37.0,35.6,31.0,34.7,45.9,48.5,43.9,43.6,48.0,46.0,37.0,39.0
1770650928.1722736,35.7,31.0,32.3,36.0,37.0,29.3,27.6,23.2,63.0,66.7,56.0,54.9,23.8,26.5,31.0,29.0,46.0,43.4,44.4,42.3,42.0,52.0,51.0,45.5
1770650929.1723406,28.6,26.7,27.3,27.0,31.6,38.0,28.0,40.6,63.4,62.4,55.4,67.3,36.0,31.7,27.0,27.5,52.5,53.0,50.5,55.0,53.5,61.4,60.4,50.5
1770650930.1724222,30.6,33.3,32.0,33.7,32.0,30.6,45.0,35.4,61.8,57.4,55.6,63.3,28.4,31.7,31.1,30.0,50.0,54.0,41.8,51.0,49.5,56.9,46.5,52.0
1770650931.1725032,28.9,25.3,26.3,24.0,22.9,24.5,43.0,37.0,60.0,57.6,55.4,64.0,39.8,40.6,43.6,44.0,56.0,55.6,57.4,56.1,51.0,60.0,55.0,54.0
1770650932.1725714,35.0,29.4,36.0,31.6,26.5,26.0,24.2,49.5,58.0,63.4,64.4,58.8,46.6,46.5,43.1,44.1,55.6,56.0,50.5,46.5,53.0,49.5,59.0,51.0
1770650933.1726446,32.0,26.3,25.8,27.5,31.3,28.3,40.0,41.0,63.0,55.1,69.0,66.7,33.0,34.3,32.0,32.7,56.0,55.6,64.6,58.4,60.0,59.6,55.0,59.4
1770650934.1727304,30.6,31.0,34.7,32.3,20.4,29.6,49.0,22.4,61.4,55.4,58.4,64.4,18.8,16.0,13.1,16.0,53.0,56.0,50.0,53.5,60.4,44.6,53.0,48.5
1770650935.1728153,27.8,27.0,28.3,26.5,25.3,28.0,37.4,32.4,62.6,56.4,62.6,62.0,29.3,28.3,33.0,24.0,51.5,57.0,54.0,56.0,59.0,50.5,58.6,53.0
1770650936.1728573,34.4,32.0,27.3,32.3,36.0,44.0,36.6,42.4,62.0,57.0,66.7,60.0,52.0,45.0,52.5,46.0,56.9,55.0,56.4,61.0,54.5,51.0,64.7,48.5
1770650937.172935,30.9,27.0,26.3,27.7,36.4,37.4,39.8,42.9,63.4,58.0,63.3,66.3,41.6,42.6,38.6,37.6,51.5,54.5,60.0,58.0,53.5,53.5,57.0,57.4
1770650938.1730204,35.4,35.4,31.3,29.0,33.0,50.5,33.7,37.4,65.0,57.4,63.7,68.0,46.2,37.3,37.3,41.2,53.0,50.5,54.1,47.5,59.0,53.1,54.0,56.6
1770650939.173162,28.6,27.7,29.6,23.8,44.4,26.3,23.0,28.0,68.3,62.4,57.4,58.8,28.0,28.7,26.5,25.7,40.4,42.0,50.5,52.5,54.0,50.5,52.5,59.6
1770650940.173241,30.9,26.7,27.7,26.0,38.6,19.2,23.2,23.0,63.0,56.6,56.6,62.6,18.8,19.8,20.6,18.8,49.0,50.0,43.0,39.4,41.2,43.6,50.0,41.0
1770650941.1733053,33.0,29.3,32.0,34.0,33.7,27.6,39.0,38.0,63.4,61.4,58.8,61.0,26.3,26.0,25.5,26.0,49.0,44.0,48.0,38.4,40.8,42.0,37.0,45.5
1770650942.1733758,29.9,28.0,31.3,31.3,41.4,30.3,26.5,42.4,60.0,60.6,63.0,55.0,39.6,34.7,41.2,33.7,47.0,40.8,45.0,51.0,52.0,50.0,49.0,54.0
1770650943.1734545,31.6,29.3,29.0,28.7,26.3,38.4,30.3,46.5,58.4,65.0,65.0,57.0,41.2,42.6,38.2,40.2,44.4,41.4,41.2,48.5,53.5,44.0,53.5,60.6
1770650944.173801,33.3,28.7,26.0,26.7,34.7,45.5,29.3,36.0,56.4,61.8,67.3,60.0,37.3,36.6,37.6,37.0,48.5,50.0,58.4,57.0,47.5,55.0,56.4,53.5
1770650945.1738544,32.7,31.0,29.6,25.0,43.6,48.0,34.3,33.0,62.4,57.6,60.4,67.3,29.3,29.4,30.0,28.7,47.5,46.0,35.4,48.0,64.0,57.6,48.5,55.4
1770650946.1739337,35.7,33.7,27.6,24.5,63.0,26.0,36.0,39.8,68.0,63.0,61.2,63.4,27.7,28.0,25.7,33.7,47.0,49.5,49.0,46.5,50.5,51.0,56.4,63.0
1770650947.177981,30.3,27.0,31.3,30.1,39.0,26.0,22.0,25.0,54.0,62.4,60.4,55.0,29.7,32.7,30.1,31.4,39.6,51.0,41.6,42.0,56.9,47.5,51.5,50.0
1770650948.1780474,29.6,28.0,29.7,27.3,37.4,35.7,32.3,33.3,63.0,55.6,62.7,66.3,38.0,35.3,41.6,36.6,46.5,50.5,61.2,52.0,51.5,51.0,54.0,58.6
1770650949.1781156,32.3,28.3,30.0,29.0,40.4,34.0,38.0,39.0,56.6,65.3,62.6,55.9,46.5,41.0,41.0,50.5,52.5,49.0,53.0,54.5,57.6,57.6,56.0,52.0
1770650950.1781983,35.0,29.0,26.3,32.7,31.6,33.3,36.4,42.4,67.0,58.6,58.4,62.0,37.0,32.7,41.0,31.7,48.0,50.5,45.5,56.0,52.5,51.5,50.5,58.6
1770650951.1789157,31.6,28.7,29.3,28.0,37.0,34.0,25.0,38.4,70.3,57.4,55.0,58.0,36.4,37.0,38.2,35.6,56.6,55.1,46.0,54.0,56.4,52.9,51.5,49.0
1770650952.1789985,34.3,28.3,30.7,27.0,26.5,23.2,16.3,32.3,70.0,58.0,64.4,61.4,39.8,35.6,37.3,38.2,51.0,56.0,53.0,58.0,61.8,51.0,46.5,42.0
