timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_1),CPU_68(group_1),CPU_6(group_1),CPU_70(group_1),CPU_8(group_2),CPU_72(group_2),CPU_10(group_2),CPU_74(group_2),CPU_12(group_3),CPU_76(group_3),CPU_14(group_3),CPU_78(group_3),CPU_16(group_4),CPU_80(group_4),CPU_18(group_4),CPU_82(group_4),CPU_20(group_5),CPU_84(group_5),CPU_22(group_5),CPU_86(group_5)
1770632079.3347151,49.5,43.0,36.4,50.0,56.6,47.1,50.0,54.5,42.2,51.0,54.5,52.9,42.2,53.9,45.5,51.0,49.0,47.5,52.0,44.2,36.3,51.5,34.0,4.1
1770632080.334954,53.0,40.6,43.6,52.0,48.0,49.0,56.0,39.6,49.5,46.5,44.0,51.0,44.0,47.0,51.5,46.0,49.5,51.5,48.0,39.4,39.8,48.0,23.0,3.1
1770632081.3350167,47.0,46.1,47.5,41.7,44.0,45.5,42.2,59.0,44.7,45.6,50.0,43.6,49.5,43.7,48.0,49.0,48.5,49.0,54.5,44.1,43.0,43.1,13.3,11.1
1770632082.3350978,49.0,48.0,46.5,56.0,42.0,47.0,56.4,41.2,47.5,48.0,47.0,46.5,54.5,41.4,54.5,43.0,45.5,47.0,49.0,48.5,52.0,50.5,3.0,33.7
1770632083.3351836,58.6,50.0,50.5,49.0,45.0,51.5,51.0,44.4,49.5,44.7,48.5,52.5,45.5,46.5,55.4,45.5,56.9,41.2,58.4,46.1,49.5,48.5,15.5,5.1
1770632084.3352559,54.5,49.0,47.5,53.4,49.0,55.0,47.5,55.4,50.0,47.6,51.5,50.5,57.4,50.5,53.9,51.5,56.4,49.0,61.2,43.0,51.5,47.0,4.0,18.2
1770632085.335341,51.0,50.0,52.9,44.0,48.5,47.5,52.0,49.0,47.6,45.5,45.6,50.5,47.6,56.3,48.5,53.5,45.5,48.0,56.4,44.0,53.5,50.0,6.1,4.1
1770632086.3354244,57.4,51.5,53.1,46.5,51.0,45.0,43.4,49.0,48.5,45.1,44.0,46.5,44.6,51.0,46.0,44.9,44.6,48.5,53.0,43.1,46.5,47.0,9.2,7.1
1770632087.3355174,53.9,47.5,54.4,44.1,46.0,47.5,46.5,48.5,48.0,46.5,47.1,44.0,47.0,48.0,42.2,52.9,49.0,50.5,51.5,52.4,52.9,51.5,6.0,12.1
1770632088.3355963,49.5,52.0,51.0,46.0,47.1,44.6,55.3,52.5,41.0,55.4,53.9,47.1,48.0,48.5,45.9,43.6,49.5,41.6,41.4,57.0,40.0,52.0,13.1,7.1
1770632089.3356724,58.0,44.0,49.5,43.6,45.5,47.5,45.5,52.0,51.5,45.0,52.0,53.5,50.0,45.2,52.0,48.5,56.3,47.5,55.4,50.0,44.7,51.0,14.3,5.1
1770632090.3364844,45.0,50.5,47.0,46.5,53.5,54.4,45.0,49.5,55.9,49.0,49.0,46.5,48.5,56.0,46.5,51.5,44.0,53.9,46.6,51.5,52.5,41.0,4.0,11.1
1770632091.336903,55.4,52.5,45.5,54.0,44.6,54.5,43.1,54.0,45.1,44.1,60.8,50.0,43.6,46.5,56.3,54.0,55.4,53.9,52.0,54.4,55.8,52.4,15.3,5.1
1770632092.3369856,47.0,49.5,49.5,50.5,50.5,43.6,43.0,48.5,44.0,43.0,52.0,47.1,50.0,47.1,45.5,42.6,45.5,50.0,51.5,58.4,48.0,55.4,3.1,15.0
1770632093.3370757,48.5,50.0,50.5,43.1,38.2,48.5,49.0,52.5,52.9,40.8,46.1,46.6,44.1,48.5,45.1,52.9,53.9,46.5,51.5,58.4,44.6,46.5,11.1,4.1
1770632094.3371563,38.6,56.4,49.5,45.5,44.6,40.0,47.0,51.5,49.5,38.4,48.5,43.6,42.6,37.0,49.0,51.0,47.0,51.5,40.2,55.9,45.0,44.6,10.0,4.1
